username,team,games_played,total_eliminations,total_deaths,total_assists,total_damage,total_plants,total_defuses,avg_eliminations,avg_deaths,avg_assists,avg_damage,kd_ratio,victories,defeats,win_rate,first_seen,last_seen
B TAP,DEF,1,10,11,6,1768,0,0,10.0,11.0,6.0,1768.0,0.91,1,0,100.0,2025-08-13T12:21:05.664574,2025-08-13T12:21:05.664574
RAVYN,ATK,4,37,41,22,7882,0,0,9.25,10.25,5.5,1970.5,0.9,4,0,100.0,2025-08-13T12:19:49.477809,2025-08-13T12:20:54.504051
ITZENDLESS,DEF,1,9,10,7,1646,0,0,9.0,10.0,7.0,1646.0,0.9,1,0,100.0,2025-08-13T12:21:05.664574,2025-08-13T12:21:05.664574
ANONYMOUS257,ATK,1,8,9,3,1493,0,0,8.0,9.0,3.0,1493.0,0.89,1,0,100.0,2025-08-13T12:19:22.036063,2025-08-13T12:19:22.036063
REIGNLAEHTO,ATK,1,8,9,4,1744,2,0,8.0,9.0,4.0,1744.0,0.89,1,0,100.0,2025-08-13T12:19:40.259309,2025-08-13T12:19:40.259309
HPT,ATK,1,8,9,5,2133,0,1,8.0,9.0,5.0,2133.0,0.89,1,0,100.0,2025-08-13T12:21:15.596359,2025-08-13T12:21:15.596359
LOOTVACUUMXO,ATK,3,25,30,22,5656,0,1,8.33,10.0,7.33,1885.33,0.83,3,0,100.0,2025-08-13T12:20:12.931233,2025-08-13T12:20:54.504051
C47DNN,DEF,1,5,6,13,1284,1,1,5.0,6.0,13.0,1284.0,0.83,1,0,100.0,2025-08-13T12:21:15.596359,2025-08-13T12:21:15.596359
GIZMO,ATK,1,4,5,2,425,0,0,4.0,5.0,2.0,425.0,0.8,1,0,100.0,2025-08-13T12:20:33.410010,2025-08-13T12:20:33.410010
BARNACLEBOY,ATK,1,7,9,1,1226,2,0,7.0,9.0,1.0,1226.0,0.78,1,0,100.0,2025-08-13T12:20:43.919197,2025-08-13T12:20:43.919197
MAKEITPUCKER,ATK,1,7,9,4,1211,3,0,7.0,9.0,4.0,1211.0,0.78,1,0,100.0,2025-08-13T12:21:05.664574,2025-08-13T12:21:05.664574
JVK3FARMTV,DEF,1,6,8,1,967,1,0,6.0,8.0,1.0,967.0,0.75,1,0,100.0,2025-08-13T12:19:22.036063,2025-08-13T12:19:22.036063
INVXDE,DEF,1,6,8,6,1046,1,0,6.0,8.0,6.0,1046.0,0.75,1,0,100.0,2025-08-13T12:19:31.045275,2025-08-13T12:19:31.045275
NT,DEF,1,6,8,0,1146,0,0,6.0,8.0,0.0,1146.0,0.75,1,0,100.0,2025-08-13T12:19:31.045275,2025-08-13T12:19:31.045275
F4TALITYSLAAYHG,ATK,1,6,8,6,1607,0,0,6.0,8.0,6.0,1607.0,0.75,1,0,100.0,2025-08-13T12:19:49.477809,2025-08-13T12:19:49.477809
BLUEJ,ATK,1,5,7,5,1115,0,0,5.0,7.0,5.0,1115.0,0.71,1,0,100.0,2025-08-13T12:20:33.410010,2025-08-13T12:20:33.410010
PAPIPAVV,ATK,1,5,7,3,1497,2,0,5.0,7.0,3.0,1497.0,0.71,1,0,100.0,2025-08-13T12:21:05.664574,2025-08-13T12:21:05.664574
