username,team,games_played,total_eliminations,total_deaths,total_assists,total_damage,total_plants,total_defuses,avg_eliminations,avg_deaths,avg_assists,avg_damage,kd_ratio,victories,defeats,win_rate,first_seen,last_seen
BRIIDGE-_-,ATK,1,12,6,5,1914,0,1,12.0,6.0,5.0,1914.0,2.0,1,0,100.0,2025-08-13T11:42:41.765197,2025-08-13T11:42:41.765197
2AM HERBO,ATK,1,13,7,4,2200,0,0,13.0,7.0,4.0,2200.0,1.86,1,0,100.0,2025-08-13T11:40:28.729596,2025-08-13T11:40:28.729596
Melly Erax,ATK,1,9,5,3,1405,0,0,9.0,5.0,3.0,1405.0,1.8,1,0,100.0,2025-08-13T11:42:04.262295,2025-08-13T11:42:04.262295
mi DEIDREAMMtt,ATK,1,5,3,3,845,2,1,5.0,3.0,3.0,845.0,1.67,1,0,100.0,2025-08-13T11:41:42.057576,2025-08-13T11:41:42.057576
SKITLE6,ATK,12,125,80,75,25840,3,6,10.42,6.67,6.25,2153.33,1.56,12,0,100.0,2025-08-13T11:39:59.925988,2025-08-13T11:42:41.765197
slpVUYFN,DEF,1,15,10,6,3157,0,0,15.0,10.0,6.0,3157.0,1.5,1,0,100.0,2025-08-13T11:40:13.776462,2025-08-13T11:40:13.776462
NEW PLAYER 399,DEF,3,39,28,17,6752,0,2,13.0,9.33,5.67,2250.67,1.39,3,0,100.0,2025-08-13T11:40:40.930735,2025-08-13T11:42:16.961939
ACE_OF_ACTION,DEF,1,12,9,2,1669,2,0,12.0,9.0,2.0,1669.0,1.33,1,0,100.0,2025-08-13T11:41:26.731141,2025-08-13T11:41:26.731141
BROOKS!,ATK,3,38,29,19,8110,3,1,12.67,9.67,6.33,2703.33,1.31,3,0,100.0,2025-08-13T11:40:40.930735,2025-08-13T11:42:16.961939
DHAP:,ATK,3,27,21,19,5418,7,0,9.0,7.0,6.33,1806.0,1.29,3,0,100.0,2025-08-13T11:40:13.776462,2025-08-13T11:42:04.262295
ISBYOUNG_BILLIE,DEF,1,9,7,4,1843,4,1,9.0,7.0,4.0,1843.0,1.29,1,0,100.0,2025-08-13T11:42:41.765197,2025-08-13T11:42:41.765197
2AM DARKCELYtv,DEF,2,25,20,10,4714,0,0,12.5,10.0,5.0,2357.0,1.25,2,0,100.0,2025-08-13T11:42:28.887068,2025-08-13T11:42:41.765197
QUINTIN,DEF,4,45,37,26,11223,2,1,11.25,9.25,6.5,2805.75,1.22,4,0,100.0,2025-08-13T11:40:40.930735,2025-08-13T11:42:16.961939
2.ZMR.BRATSO,ATK,2,17,14,10,3233,3,0,8.5,7.0,5.0,1616.5,1.21,2,0,100.0,2025-08-13T11:39:59.925988,2025-08-13T11:40:54.641653
dvs SCOPE,ATK,4,41,34,22,7890,14,1,10.25,8.5,5.5,1972.5,1.21,4,0,100.0,2025-08-13T11:40:13.776462,2025-08-13T11:42:16.961939
2AM ASAP,ATK,1,13,11,5,2179,1,0,13.0,11.0,5.0,2179.0,1.18,1,0,100.0,2025-08-13T11:39:59.925988,2025-08-13T11:39:59.925988
XXCRIPPLEDDEERXX,ATK,1,7,6,8,1457,0,1,7.0,6.0,8.0,1457.0,1.17,1,0,100.0,2025-08-13T11:40:28.729596,2025-08-13T11:40:28.729596
HOLIDAYc,ATK,1,8,7,4,1758,0,0,8.0,7.0,4.0,1758.0,1.14,1,0,100.0,2025-08-13T11:42:04.262295,2025-08-13T11:42:04.262295
Darkkk,DEF,1,8,7,2,1608,0,1,8.0,7.0,2.0,1608.0,1.14,1,0,100.0,2025-08-13T11:42:41.765197,2025-08-13T11:42:41.765197
YOTURTLE,DEF,2,19,17,5,3222,4,0,9.5,8.5,2.5,1611.0,1.12,2,0,100.0,2025-08-13T11:39:59.925988,2025-08-13T11:40:28.729596
SCUMBAGSWEATYTTV,ATK,1,10,9,2,1345,0,0,10.0,9.0,2.0,1345.0,1.11,1,0,100.0,2025-08-13T11:41:26.731141,2025-08-13T11:41:26.731141
WASHER-FLUID,DEF,2,14,13,7,2299,0,0,7.0,6.5,3.5,1149.5,1.08,2,0,100.0,2025-08-13T11:40:28.729596,2025-08-13T11:42:04.262295
SURGICAL10,ATK,2,17,16,11,2974,0,1,8.5,8.0,5.5,1487.0,1.06,2,0,100.0,2025-08-13T11:39:59.925988,2025-08-13T11:40:54.641653
