username,team,games_played,total_eliminations,total_deaths,total_assists,total_damage,total_plants,total_defuses,avg_eliminations,avg_deaths,avg_assists,avg_damage,kd_ratio,victories,defeats,win_rate,first_seen,last_seen
BRIDGE,ATK,1,12,6,5,1914,0,1,12.0,6.0,5.0,1914.0,2.0,1,0,100.0,2025-08-13T12:26:46.620121,2025-08-13T12:26:46.620121
2AMHERBO,ATK,1,13,7,4,2200,0,0,13.0,7.0,4.0,2200.0,1.86,1,0,100.0,2025-08-13T12:25:30.101647,2025-08-13T12:25:30.101647
MellyEra,ATK,1,9,5,3,1405,0,0,9.0,5.0,3.0,1405.0,1.8,1,0,100.0,2025-08-13T12:24:38.508216,2025-08-13T12:24:38.508216
DEIDREAMM,ATK,1,5,3,3,845,2,1,5.0,3.0,3.0,845.0,1.67,1,0,100.0,2025-08-13T12:26:01.861137,2025-08-13T12:26:01.861137
SKITLE6,ATK,12,125,80,75,25840,3,6,10.42,6.67,6.25,2153.33,1.56,12,0,100.0,2025-08-13T12:24:38.508216,2025-08-13T12:26:46.620121
VUYFN,DEF,1,15,10,6,3157,0,0,15.0,10.0,6.0,3157.0,1.5,1,0,100.0,2025-08-13T12:25:18.063724,2025-08-13T12:25:18.063724
NEWPLAYER399,DEF,3,39,28,17,6752,0,2,13.0,9.33,5.67,2250.67,1.39,3,0,100.0,2025-08-13T12:25:41.502518,2025-08-13T12:26:25.465894
ACEOFACTION,DEF,1,12,9,2,1669,2,0,12.0,9.0,2.0,1669.0,1.33,1,0,100.0,2025-08-13T12:26:13.586708,2025-08-13T12:26:13.586708
BROOKS,ATK,3,38,29,19,8110,3,1,12.67,9.67,6.33,2703.33,1.31,3,0,100.0,2025-08-13T12:25:41.502518,2025-08-13T12:26:25.465894
DHAP,DEF,3,27,21,19,5418,7,0,9.0,7.0,6.33,1806.0,1.29,3,0,100.0,2025-08-13T12:24:38.508216,2025-08-13T12:26:01.861137
ISBYOUNGBILLIE,DEF,1,9,7,4,1843,4,1,9.0,7.0,4.0,1843.0,1.29,1,0,100.0,2025-08-13T12:26:46.620121,2025-08-13T12:26:46.620121
2AMDARKCELY,DEF,2,25,20,10,4714,0,0,12.5,10.0,5.0,2357.0,1.25,2,0,100.0,2025-08-13T12:26:35.942639,2025-08-13T12:26:46.620121
QUINTIN,DEF,4,45,37,26,11223,2,1,11.25,9.25,6.5,2805.75,1.22,4,0,100.0,2025-08-13T12:25:41.502518,2025-08-13T12:26:25.465894
