username,team,games_played,total_eliminations,total_deaths,total_assists,total_damage,total_plants,total_defuses,avg_eliminations,avg_deaths,avg_assists,avg_damage,kd_ratio,victories,defeats,win_rate,first_seen,last_seen
2AM DARKCELYtv,DEF,1,18,9,5,3185,0,0,18.0,9.0,5.0,3185.0,2.0,1,0,100.0,2025-08-13T11:47:44.418408,2025-08-13T11:47:44.418408
2AM HERBO,ATK,1,13,7,4,2200,0,0,13.0,7.0,4.0,2200.0,1.86,1,0,100.0,2025-08-13T11:46:20.408690,2025-08-13T11:46:20.408690
Melly Erax,ATK,1,9,5,3,1405,0,0,9.0,5.0,3.0,1405.0,1.8,1,0,100.0,2025-08-13T11:47:25.244727,2025-08-13T11:47:25.244727
mi DEIDREAMMtt,ATK,1,5,3,3,845,2,1,5.0,3.0,3.0,845.0,1.67,1,0,100.0,2025-08-13T11:47:15.833091,2025-08-13T11:47:15.833091
slpVUYFN,DEF,1,15,10,6,3157,0,0,15.0,10.0,6.0,3157.0,1.5,1,0,100.0,2025-08-13T11:46:10.961748,2025-08-13T11:46:10.961748
SKITLE6,DEF,10,100,70,60,20759,3,5,10.0,7.0,6.0,2075.9,1.43,10,0,100.0,2025-08-13T11:46:00.461849,2025-08-13T11:47:44.418408
NEW PLAYER 399,DEF,3,39,28,17,6752,0,2,13.0,9.33,5.67,2250.67,1.39,3,0,100.0,2025-08-13T11:46:29.506453,2025-08-13T11:47:34.492764
MILKMANPM,DEF,1,11,8,7,2355,2,1,11.0,8.0,7.0,2355.0,1.38,1,0,100.0,2025-08-13T11:46:00.461849,2025-08-13T11:46:00.461849
ACE_OF_ACTION,DEF,1,12,9,2,1669,2,0,12.0,9.0,2.0,1669.0,1.33,1,0,100.0,2025-08-13T11:47:06.805888,2025-08-13T11:47:06.805888
BROOKS!,ATK,3,38,29,19,8110,3,1,12.67,9.67,6.33,2703.33,1.31,3,0,100.0,2025-08-13T11:46:29.506453,2025-08-13T11:47:34.492764
DHAP:,ATK,3,27,21,19,5418,7,0,9.0,7.0,6.33,1806.0,1.29,3,0,100.0,2025-08-13T11:46:10.961748,2025-08-13T11:47:25.244727
*QUINTIN,DEF,4,45,37,26,11223,2,1,11.25,9.25,6.5,2805.75,1.22,4,0,100.0,2025-08-13T11:46:29.506453,2025-08-13T11:47:34.492764
dvs SCOPE,ATK,4,41,34,22,7890,14,1,10.25,8.5,5.5,1972.5,1.21,4,0,100.0,2025-08-13T11:46:10.961748,2025-08-13T11:47:34.492764
2AM ASAP,ATK,1,13,11,5,2179,1,0,13.0,11.0,5.0,2179.0,1.18,1,0,100.0,2025-08-13T11:46:00.461849,2025-08-13T11:46:00.461849
XXCRIPPLEDDEERXX,ATK,1,7,6,8,1457,0,1,7.0,6.0,8.0,1457.0,1.17,1,0,100.0,2025-08-13T11:46:20.408690,2025-08-13T11:46:20.408690
HOLIDAYc,ATK,1,8,7,4,1758,0,0,8.0,7.0,4.0,1758.0,1.14,1,0,100.0,2025-08-13T11:47:25.244727,2025-08-13T11:47:25.244727
YOTURTLE,DEF,2,19,17,5,3222,4,0,9.5,8.5,2.5,1611.0,1.12,2,0,100.0,2025-08-13T11:46:00.461849,2025-08-13T11:46:20.408690
SURGICAL10,ATK,1,10,9,5,1620,0,0,10.0,9.0,5.0,1620.0,1.11,1,0,100.0,2025-08-13T11:46:00.461849,2025-08-13T11:46:00.461849
SCUMBAGSWEATYTTV,ATK,1,10,9,2,1345,0,0,10.0,9.0,2.0,1345.0,1.11,1,0,100.0,2025-08-13T11:47:06.805888,2025-08-13T11:47:06.805888
WASHER-FLUID,DEF,2,14,13,7,2299,0,0,7.0,6.5,3.5,1149.5,1.08,2,0,100.0,2025-08-13T11:46:20.408690,2025-08-13T11:47:25.244727
TWITCHE,DEF,1,9,9,2,1664,1,0,9.0,9.0,2.0,1664.0,1.0,1,0,100.0,2025-08-13T11:47:06.805888,2025-08-13T11:47:06.805888
cautiony,ATK,1,7,7,4,1257,0,1,7.0,7.0,4.0,1257.0,1.0,1,0,100.0,2025-08-13T11:47:06.805888,2025-08-13T11:47:06.805888
BIONICFORCA GVG,ATK,1,8,8,5,1736,0,0,8.0,8.0,5.0,1736.0,1.0,1,0,100.0,2025-08-13T11:47:44.418408,2025-08-13T11:47:44.418408
NAUSEOUSFN,ATK,1,8,8,6,1496,0,0,8.0,8.0,6.0,1496.0,1.0,1,0,100.0,2025-08-13T11:47:44.418408,2025-08-13T11:47:44.418408
TTVHEARTMADDI,ATK,5,42,45,38,10966,0,1,8.4,9.0,7.6,2193.2,0.93,5,0,100.0,2025-08-13T11:46:10.961748,2025-08-13T11:47:34.492764
ATR BTAPジ,DEF,1,10,11,6,1768,0,0,10.0,11.0,6.0,1768.0,0.91,1,0,100.0,2025-08-13T11:47:44.418408,2025-08-13T11:47:44.418408
RaVYn,ATK,4,37,41,22,7882,0,0,9.25,10.25,5.5,1970.5,0.9,4,0,100.0,2025-08-13T11:46:10.961748,2025-08-13T11:47:34.492764
TwitchITZENDLESS,DEF,1,9,10,7,1646,0,0,9.0,10.0,7.0,1646.0,0.9,1,0,100.0,2025-08-13T11:47:44.418408,2025-08-13T11:47:44.418408
REIGNLAEHTO,ATK,1,8,9,4,1744,2,0,8.0,9.0,4.0,1744.0,0.89,1,0,100.0,2025-08-13T11:46:00.461849,2025-08-13T11:46:00.461849
Loot Vacuum XOツ,ATK,3,25,30,22,5656,0,1,8.33,10.0,7.33,1885.33,0.83,3,0,100.0,2025-08-13T11:46:29.506453,2025-08-13T11:47:34.492764
TTVGIZMO_WA,ATK,1,4,5,2,425,0,0,4.0,5.0,2.0,425.0,0.8,1,0,100.0,2025-08-13T11:47:15.833091,2025-08-13T11:47:15.833091
BARNACLE BOY,ATK,1,7,9,1,1226,2,0,7.0,9.0,1.0,1226.0,0.78,1,0,100.0,2025-08-13T11:47:06.805888,2025-08-13T11:47:06.805888
MAKEITPUCKER,ATK,1,7,9,4,1211,3,0,7.0,9.0,4.0,1211.0,0.78,1,0,100.0,2025-08-13T11:47:44.418408,2025-08-13T11:47:44.418408
F4TALITY SLAAYHG,ATK,1,6,8,6,1607,0,0,6.0,8.0,6.0,1607.0,0.75,1,0,100.0,2025-08-13T11:46:10.961748,2025-08-13T11:46:10.961748
NVF INVXDE,DEF,1,6,8,6,1046,1,0,6.0,8.0,6.0,1046.0,0.75,1,0,100.0,2025-08-13T11:47:25.244727,2025-08-13T11:47:25.244727
◆NT,DEF,1,6,8,0,1146,0,0,6.0,8.0,0.0,1146.0,0.75,1,0,100.0,2025-08-13T11:47:25.244727,2025-08-13T11:47:25.244727
BLUEJ,ATK,1,5,7,5,1115,0,0,5.0,7.0,5.0,1115.0,0.71,1,0,100.0,2025-08-13T11:47:15.833091,2025-08-13T11:47:15.833091
PAPIPAVV,ATK,1,5,7,3,1497,2,0,5.0,7.0,3.0,1497.0,0.71,1,0,100.0,2025-08-13T11:47:44.418408,2025-08-13T11:47:44.418408
2.ZMR.BRATSO,ATK,1,7,10,4,1565,3,0,7.0,10.0,4.0,1565.0,0.7,1,0,100.0,2025-08-13T11:46:00.461849,2025-08-13T11:46:00.461849
*STAN,DEF,4,30,45,44,11274,4,0,7.5,11.25,11.0,2818.5,0.67,4,0,100.0,2025-08-13T11:46:10.961748,2025-08-13T11:47:34.492764
DARKTRXPP,DEF,1,6,9,4,1334,0,0,6.0,9.0,4.0,1334.0,0.67,1,0,100.0,2025-08-13T11:47:25.244727,2025-08-13T11:47:25.244727
CRIDGE私,DEF,1,7,11,13,2061,0,0,7.0,11.0,13.0,2061.0,0.64,1,0,100.0,2025-08-13T11:46:00.461849,2025-08-13T11:46:00.461849
DUELIST,ATK,1,7,11,6,2491,0,1,7.0,11.0,6.0,2491.0,0.64,1,0,100.0,2025-08-13T11:46:00.461849,2025-08-13T11:46:00.461849
FREEMAN,ATK,1,7,11,6,1711,3,0,7.0,11.0,6.0,1711.0,0.64,1,0,100.0,2025-08-13T11:46:00.461849,2025-08-13T11:46:00.461849
JUICETANK,DEF,1,5,8,5,1010,0,0,5.0,8.0,5.0,1010.0,0.62,1,0,100.0,2025-08-13T11:46:20.408690,2025-08-13T11:46:20.408690
TRIPPYPRODIGYTTV,DEF,1,5,8,1,1209,0,1,5.0,8.0,1.0,1209.0,0.62,1,0,100.0,2025-08-13T11:46:20.408690,2025-08-13T11:46:20.408690
AEROS.ッ,ATK,3,16,26,15,3310,7,0,5.33,8.67,5.0,1103.33,0.62,3,0,100.0,2025-08-13T11:46:29.506453,2025-08-13T11:47:34.492764
HYPHIN12,ATK,1,3,5,4,1011,0,0,3.0,5.0,4.0,1011.0,0.6,1,0,100.0,2025-08-13T11:47:06.805888,2025-08-13T11:47:06.805888
BUBBA_445,ATK,1,3,5,4,671,0,1,3.0,5.0,4.0,671.0,0.6,1,0,100.0,2025-08-13T11:47:15.833091,2025-08-13T11:47:15.833091
GVG TRIPZGAMING,DEF,1,4,7,9,1246,1,0,4.0,7.0,9.0,1246.0,0.57,1,0,100.0,2025-08-13T11:47:15.833091,2025-08-13T11:47:15.833091
VARGAS_TTV,ATK,1,4,7,2,925,0,0,4.0,7.0,2.0,925.0,0.57,1,0,100.0,2025-08-13T11:47:15.833091,2025-08-13T11:47:15.833091
TOSH,ATK,1,4,7,4,932,0,0,4.0,7.0,4.0,932.0,0.57,1,0,100.0,2025-08-13T11:47:44.418408,2025-08-13T11:47:44.418408
cautions egirl,DEF,1,5,9,4,1388,0,0,5.0,9.0,4.0,1388.0,0.56,1,0,100.0,2025-08-13T11:46:20.408690,2025-08-13T11:46:20.408690
